13517,13517,13517,13517,13517
6302,6302,6302,6302,6302
14375,14375,14375,14375,14375
8034,8034,8034,8034,8034
5056,5056,5056,5056,5056
4027,4027,4027,4027,4027
13238,13238,13238,13238,13238
2760,2760,2760,2760,2760
11446,11446,11446,11446,11446
6497,6497,6497,6497,6497
102,102,102,102,102
14180,14180,14180,14180,14180
2695,2695,2695,2695,2695
5530,5530,5530,5530,5530
11789,11789,11789,11789,11789
13078,13078,13078,13078,13078
5957,5957,5957,5957,5957
13099,13099,13099,13099,13099
8858,8858,8858,8858,8858
14238,14238,14238,14238,14238
3871,3871,3871,3871,3871
11895,11895,11895,11895,11895
88,88,88,88,88
10628,10628,10628,10628,10628
14282,14282,14282,14282,14282
6108,6108,6108,6108,6108
3372,3372,3372,3372,3372
4894,4894,4894,4894,4894
3403,3403,3403,3403,3403
645,645,645,645,645
5136,5136,5136,5136,5136
7806,7806,7806,7806,7806
3687,3687,3687,3687,3687
3003,3003,3003,3003,3003
12583,12583,12583,12583,12583
2024,2024,2024,2024,2024
13302,13302,13302,13302,13302
1865,1865,1865,1865,1865
452,452,452,452,452
1007,1007,1007,1007,1007
11441,11441,11441,11441,11441
8996,8996,8996,8996,8996
5700,5700,5700,5700,5700
12978,12978,12978,12978,12978
11833,11833,11833,11833,11833
5957,5957,5957,5957,5957
5692,5692,5692,5692,5692
13946,13946,13946,13946,13946
4464,4464,4464,4464,4464
7145,7145,7145,7145,7145
8552,8552,8552,8552,8552
10291,10291,10291,10291,10291
10726,10726,10726,10726,10726
3095,3095,3095,3095,3095
12925,12925,12925,12925,12925
6233,6233,6233,6233,6233
8359,8359,8359,8359,8359
6084,6084,6084,6084,6084
12095,12095,12095,12095,12095
5211,5211,5211,5211,5211
2024,2024,2024,2024,2024
13053,13053,13053,13053,13053
4379,4379,4379,4379,4379
6542,6542,6542,6542,6542
1566,1566,1566,1566,1566
9311,9311,9311,9311,9311
5308,5308,5308,5308,5308
6442,6442,6442,6442,6442
12510,12510,12510,12510,12510
5921,5921,5921,5921,5921
128,128,128,128,128
1796,1796,1796,1796,1796
12419,12419,12419,12419,12419
4894,4894,4894,4894,4894
6185,6185,6185,6185,6185
8676,8676,8676,8676,8676
6743,6743,6743,6743,6743
13792,13792,13792,13792,13792
385,385,385,385,385
6922,6922,6922,6922,6922
7055,7055,7055,7055,7055
8338,8338,8338,8338,8338
1625,1625,1625,1625,1625
3472,3472,3472,3472,3472
11515,11515,11515,11515,11515
12416,12416,12416,12416,12416
8061,8061,8061,8061,8061
9097,9097,9097,9097,9097
4894,4894,4894,4894,4894
13940,13940,13940,13940,13940
5243,5243,5243,5243,5243
13682,13682,13682,13682,13682
5376,5376,5376,5376,5376
4999,4999,4999,4999,4999
10498,10498,10498,10498,10498
1945,1945,1945,1945,1945
5530,5530,5530,5530,5530
12391,12391,12391,12391,12391
528,528,528,528,528
5635,5635,5635,5635,5635
3082,3082,3082,3082,3082
13507,13507,13507,13507,13507
1790,1790,1790,1790,1790
14401,14401,14401,14401,14401
7003,7003,7003,7003,7003
11908,11908,11908,11908,11908
7526,7526,7526,7526,7526
2822,2822,2822,2822,2822
12252,12252,12252,12252,12252
1945,1945,1945,1945,1945
5957,5957,5957,5957,5957
3082,3082,3082,3082,3082
14464,14464,14464,14464,14464
1615,1615,1615,1615,1615
6084,6084,6084,6084,6084
8630,8630,8630,8630,8630
7526,7526,7526,7526,7526
11496,11496,11496,11496,11496
2457,2457,2457,2457,2457
592,592,592,592,592
7526,7526,7526,7526,7526
4009,4009,4009,4009,4009
1223,1223,1223,1223,1223
2321,2321,2321,2321,2321
4894,4894,4894,4894,4894
11726,11726,11726,11726,11726
3352,3352,3352,3352,3352
528,528,528,528,528
10025,10025,10025,10025,10025
8601,8601,8601,8601,8601
557,557,557,557,557
6884,6884,6884,6884,6884
7526,7526,7526,7526,7526
13379,13379,13379,13379,13379
3070,3070,3070,3070,3070
2963,2963,2963,2963,2963
7888,7888,7888,7888,7888
7162,7162,7162,7162,7162
6072,6072,6072,6072,6072
6379,6379,6379,6379,6379
1092,1092,1092,1092,1092
8103,8103,8103,8103,8103
6469,6469,6469,6469,6469
11257,11257,11257,11257,11257
10467,10467,10467,10467,10467
4582,4582,4582,4582,4582
5049,5049,5049,5049,5049
4505,4505,4505,4505,4505
2281,2281,2281,2281,2281
3254,3254,3254,3254,3254
3419,3419,3419,3419,3419
12511,12511,12511,12511,12511
5826,5826,5826,5826,5826
2264,2264,2264,2264,2264
9061,9061,9061,9061,9061
4060,4060,4060,4060,4060
1309,1309,1309,1309,1309
10729,10729,10729,10729,10729
3871,3871,3871,3871,3871
7878,7878,7878,7878,7878
1823,1823,1823,1823,1823
7356,7356,7356,7356,7356
12804,12804,12804,12804,12804
1309,1309,1309,1309,1309
1794,1794,1794,1794,1794
5575,5575,5575,5575,5575
14447,14447,14447,14447,14447
904,904,904,904,904
8815,8815,8815,8815,8815
11955,11955,11955,11955,11955
6524,6524,6524,6524,6524
12252,12252,12252,12252,12252
7752,7752,7752,7752,7752
5502,5502,5502,5502,5502
4565,4565,4565,4565,4565
3629,3629,3629,3629,3629
7169,7169,7169,7169,7169
12431,12431,12431,12431,12431
4009,4009,4009,4009,4009
13831,13831,13831,13831,13831
1147,1147,1147,1147,1147
12224,12224,12224,12224,12224
12062,12062,12062,12062,12062
13498,13498,13498,13498,13498
7526,7526,7526,7526,7526
7383,7383,7383,7383,7383
7540,7540,7540,7540,7540
13422,13422,13422,13422,13422
978,978,978,978,978
3582,3582,3582,3582,3582
5957,5957,5957,5957,5957
1179,1179,1179,1179,1179
13721,13721,13721,13721,13721
5957,5957,5957,5957,5957
6731,6731,6731,6731,6731
6642,6642,6642,6642,6642
3910,3910,3910,3910,3910
9446,9446,9446,9446,9446
1309,1309,1309,1309,1309
9084,9084,9084,9084,9084
11459,11459,11459,11459,11459
2423,2423,2423,2423,2423
11279,11279,11279,11279,11279
3082,3082,3082,3082,3082
1007,1007,1007,1007,1007
3782,3782,3782,3782,3782
13126,13126,13126,13126,13126
3003,3003,3003,3003,3003
636,636,636,636,636
2232,2232,2232,2232,2232
12265,12265,12265,12265,12265
6334,6334,6334,6334,6334
10265,10265,10265,10265,10265
6379,6379,6379,6379,6379
9135,9135,9135,9135,9135
10800,10800,10800,10800,10800
12617,12617,12617,12617,12617
6379,6379,6379,6379,6379
14150,14150,14150,14150,14150
6490,6490,6490,6490,6490
1364,1364,1364,1364,1364
1202,1202,1202,1202,1202
1309,1309,1309,1309,1309
10976,10976,10976,10976,10976
7053,7053,7053,7053,7053
9670,9670,9670,9670,9670
7911,7911,7911,7911,7911
5564,5564,5564,5564,5564
13667,13667,13667,13667,13667
1828,1828,1828,1828,1828
13634,13634,13634,13634,13634
3795,3795,3795,3795,3795
4929,4929,4929,4929,4929
528,528,528,528,528
5488,5488,5488,5488,5488
9783,9783,9783,9783,9783
4244,4244,4244,4244,4244
11629,11629,11629,11629,11629
12416,12416,12416,12416,12416
3082,3082,3082,3082,3082
11795,11795,11795,11795,11795
9929,9929,9929,9929,9929
4992,4992,4992,4992,4992
12942,12942,12942,12942,12942
6524,6524,6524,6524,6524
3223,3223,3223,3223,3223
12303,12303,12303,12303,12303
8336,8336,8336,8336,8336
4812,4812,4812,4812,4812
9978,9978,9978,9978,9978
4510,4510,4510,4510,4510
4500,4500,4500,4500,4500
2024,2024,2024,2024,2024
1092,1092,1092,1092,1092
10613,10613,10613,10613,10613
3023,3023,3023,3023,3023
5884,5884,5884,5884,5884
2771,2771,2771,2771,2771
12434,12434,12434,12434,12434
12301,12301,12301,12301,12301
3461,3461,3461,3461,3461
4042,4042,4042,4042,4042
4500,4500,4500,4500,4500
14301,14301,14301,14301,14301
7397,7397,7397,7397,7397
7053,7053,7053,7053,7053
7430,7430,7430,7430,7430
9613,9613,9613,9613,9613
6084,6084,6084,6084,6084
97,97,97,97,97
10976,10976,10976,10976,10976
14094,14094,14094,14094,14094
3472,3472,3472,3472,3472
12099,12099,12099,12099,12099
1533,1533,1533,1533,1533
2023,2023,2023,2023,2023
5809,5809,5809,5809,5809
1828,1828,1828,1828,1828
13406,13406,13406,13406,13406
5951,5951,5951,5951,5951
