12603,2993,2418,574,4276
8919,9808,6752,4486,7596
5749,9929,13761,9613,11441
1794,10288,9858,7466,12782
1794,10288,9858,7466,12782
11316,11170,2194,7554,14415
13024,13568,1413,12519,11170
10916,14532,8867,65,4592
12025,14293,4501,13609,518
11531,5188,11337,4254,1022
1652,14375,14492,7420,9613
5601,13261,1907,13857,4325
2929,11927,2695,9695,5418
8163,5530,2482,11278,8243
13749,5084,1230,200,9686
12258,13938,2492,9760,7034
11801,10265,352,13423,13881
1823,10074,3729,11127,1531
12989,8867,4705,1978,2432
12989,8867,4705,1978,2432
11060,10191,5035,12320,7806
10183,2002,6960,4950,12391
3105,103,9929,12447,10206
6888,5113,10863,1989,4537
6888,5113,10863,1989,4537
10167,10558,11895,11679,911
3887,6539,7697,2465,8811
10646,5623,4244,12474,14375
13589,6465,7685,5595,5702
6382,8323,9570,2314,6495
4112,2342,8630,12547,10223
11205,13844,14179,10754,5035
864,467,5046,3687,7890
488,5617,5387,5073,4148
488,5617,5387,5073,4148
4299,9155,5692,7878,5921
12225,14133,5451,8521,9271
12225,14133,5451,8521,9271
12225,8508,9624,8167,14011
3595,1007,3657,7112,6935
5415,91,7420,3168,14375
14098,1393,13524,2868,1109
10018,1802,159,8473,2394
3134,13989,8636,9472,14443
3134,13989,8636,9472,14443
12397,11596,11404,3833,3416
12676,5692,12416,7878,10569
739,13151,11690,9922,13946
1612,13522,894,10655,6744
9923,12599,1283,5403,1502
3049,12411,11481,9889,12610
273,14060,3525,11483,14279
12243,12517,10937,3649,13543
1014,4046,6047,9395,6846
9476,3417,6389,6997,388
7604,706,3795,1230,4380
6159,3666,3088,6653,13560
11286,2296,5315,8522,13327
8008,9582,2435,13821,2131
8445,6060,1185,13473,7511
4851,3344,2024,8738,11774
12236,8237,10626,3753,13947
3023,7713,4379,10367,8868
12663,8509,1143,7200,534
12881,5113,10863,4537,44
9812,10063,2892,3186,5387
1500,9718,3082,13498,2415
13501,6442,1316,5194,13158
8300,9920,6332,9661,6003
7528,5921,14388,8826,5131
10786,4113,8481,8993,2548
13296,2186,1796,5972,12586
2529,5084,11095,9709,10306
822,9929,3168,12474,4244
4602,10397,2891,7407,5809
4602,10397,2891,7407,5809
8652,5926,4802,1117,4241
