687
3665	319	77
6379	5185	175
8580	9357	134
10191	1946	25
1505	4524	77
1375	13434	109
9632	14082	196
14399	6056	123
9217	6970	109
12320	6585	25
2848	6496	102
890	7282	25
6154	9698	77
3313	14215	234
6379	5152	175
8841	10830	216
14274	12957	109
11133	8447	49
10736	9793	77
3134	12518	109
1505	10139	77
13633	10839	223
11475	6883	109
14121	4863	77
10242	8968	134
3082	5769	25
11557	2329	77
2031	11810	77
6379	5084	175
8580	6828	134
621	14347	102
9735	14150	190
3134	3314	109
7014	1694	49
9397	8409	25
5576	8341	223
9217	13455	109
14533	452	49
7364	1588	216
7305	4176	109
13988	8482	49
12795	8135	31
4118	6583	196
11648	13494	17
4899	7184	109
7364	11601	216
5494	9639	35
13360	10945	31
643	9551	109
7364	13617	216
14274	2465	109
2031	12734	77
890	1101	25
1375	1438	109
14391	9250	31
7526	10385	44
7433	14358	109
7305	1496	109
5700	3590	185
1043	11933	31
9441	1662	77
5328	13358	31
14274	10600	109
283	10838	109
6379	4644	175
7364	10413	216
4752	6747	27
9990	5983	109
7364	13572	216
3355	723	35
6107	3031	196
10191	1638	25
13403	6153	78
7305	10938	109
2037	11070	109
2331	9693	49
7364	3542	216
283	4462	109
519	1810	17
1398	7169	109
14399	8226	123
5670	13893	75
6379	14326	175
6107	5209	196
6379	683	175
14274	12389	109
14047	14351	77
9745	5112	35
13175	7767	25
3313	7741	234
10649	596	109
5700	7315	185
1894	9506	123
6379	8998	175
116	4909	123
9415	14314	35
7280	4103	75
7375	6996	109
1505	13221	77
3288	4116	100
7364	117	216
13301	7562	109
7364	3647	216
10729	7044	156
14274	12092	109
9829	9949	109
2848	5703	102
8841	13921	216
6379	8669	175
9843	2894	134
14109	534	123
14274	12830	109
11452	5414	216
7364	2378	216
4899	10827	109
8002	7756	35
8212	10062	109
7364	6803	216
8817	5417	35
14399	4457	123
7157	6534	109
326	513	31
6379	2232	175
10729	5046	156
9823	908	77
14121	13410	77
4899	3877	109
6379	2748	175
3134	5204	109
4899	1810	109
13919	4909	17
9104	12062	109
2037	12615	109
7526	7352	44
3498	2512	109
11557	10493	77
9597	9450	190
12635	4151	185
4782	2293	75
4096	13843	109
7364	5565	216
7364	9093	216
1579	8412	185
6416	209	102
10756	9966	31
1477	9335	196
11452	296	216
7157	13140	109
11247	7093	223
12423	1086	123
5692	13994	100
7526	6311	44
921	7599	216
1561	11740	25
14274	9924	109
2037	10127	109
8841	2828	216
14349	11132	109
11315	10308	216
6379	10365	175
13619	5973	109
1820	6894	17
7555	5788	17
7428	9662	49
12635	423	185
819	2846	100
7526	3693	44
14344	14355	102
7808	11800	77
13301	810	109
7364	6374	216
7526	1098	44
5492	11966	49
1894	1638	123
11873	5882	35
9055	787	49
10059	5703	78
8164	4263	109
1556	1594	77
7364	5349	216
1505	3311	77
3498	3234	109
2031	11516	77
921	8350	216
5105	10909	234
1398	14324	109
1505	2546	77
1249	13394	27
7803	1832	27
13250	2702	77
1503	4011	77
7803	8736	27
1668	10424	35
1668	10572	35
4028	2386	31
1794	463	44
4899	1281	109
3134	11426	109
6154	5217	77
5845	11328	35
11662	13060	77
9291	11174	78
13988	5482	49
13965	5770	35
14274	11250	109
8832	7949	27
427	11421	17
10059	10196	78
1672	2659	109
3216	8500	216
1375	3913	109
5700	13499	185
14399	6781	123
8580	8086	134
4528	2118	35
6728	90	35
14031	12467	109
7515	4570	77
1433	14518	123
10729	13771	156
2261	12814	134
1353	2152	35
14399	9906	123
14349	9698	109
1672	3416	109
1398	4076	109
7000	2351	109
5718	12784	77
7526	13042	44
7526	6598	44
7375	13943	109
5700	14151	35
7773	6281	25
2660	3551	185
7526	8498	44
11231	10909	196
2037	12390	109
13525	2865	35
7526	4854	44
8411	11977	35
283	14262	109
1672	13307	109
2366	4536	109
3498	1611	109
12321	10958	156
7142	3984	35
2366	1947	109
6379	11105	175
3134	8622	109
1375	5005	109
5729	6800	35
643	1340	109
921	3183	216
3498	1332	109
9492	10689	77
12423	362	123
